id,dateTimeUtc,lastModifiedOn,border_NO4_SE1,border_NO4_FI,border_NO4_SE2,border_NO4_NO3,border_SE1_SE2,border_NO3_SE2,border_NO3_NO1,border_SE2_SE3,border_NO5_NO1,border_NO1_SE3,border_NO5_NO2,border_NO1_NO2,border_DK2_SE4,border_SE3_SE4,border_SE1_FI,border_NO3_NO5,border_SE1_NO4,border_FI_NO4,border_SE2_NO4,border_NO3_NO4,border_SE2_SE1,border_SE2_NO3,border_NO1_NO3,border_SE3_SE2,border_NO1_NO5,border_SE3_NO1,border_NO2_NO5,border_NO2_NO1,border_SE4_DK2,border_SE4_SE3,border_FI_SE1,border_NO5_NO3,border_SE3_FI,border_NO2_DK1,border_DK1_SE3,border_DK1_DK2,border_FI_SE3,border_DK1_NO2,border_SE3_DK1,border_DK2_DK1,border_NL_DK1,border_DE_DK1,border_DE_DK2,border_NL_NO2,border_DE_NO2,border_DE_SE4,border_LT_SE4,border_PL_SE4,border_EE_FI,border_DK1_NL,border_DK1_DE,border_DK2_DE,border_NO2_NL,border_NO2_DE,border_SE4_DE,border_SE4_LT,border_SE4_PL,border_FI_EE,border_SE3SWL_SE4,border_SE4SWL_SE3,border_SE4_SE3SWL,border_SE3_SE4SWL
25,2024-10-29T23:00:00Z,2024-10-29T09:00:56.563,1299.0,1184.0,1378.0,1416.0,2500.0,1672.0,1802.0,6659.0,3997.0,1420.0,2126.0,2867.0,1611.0,3251.0,1187.0,1390.0,1124.0,972.0,1125.0,1140.0,3572.0,1597.0,688.0,7091.0,882.0,1517.0,1071.0,3399.0,1251.0,2715.0,972.0,728.0,1200.0,1632.0,715.0,531.0,1200.0,1632.0,715.0,600.0,0.0,2500.0,1000.0,700.0,1400.0,600.0,700.0,600.0,1016.0,0.0,2500.0,985.0,723.0,1444.0,615.0,700.0,600.0,1016.0,0.0,0.0,0.0,0.0
26,2024-10-30T00:00:00Z,2024-10-29T09:00:56.58,1271.0,1235.0,1399.0,1501.0,2531.0,1711.0,1799.0,6519.0,4059.0,1413.0,2140.0,2879.0,1607.0,3260.0,1237.0,1399.0,1125.0,991.0,1126.0,1141.0,3601.0,1584.0,683.0,6947.0,890.0,1501.0,1082.0,3344.0,1259.0,2715.0,991.0,722.0,1200.0,1632.0,715.0,531.0,1200.0,1632.0,715.0,600.0,0.0,2500.0,1000.0,700.0,1400.0,600.0,700.0,600.0,1016.0,0.0,2500.0,985.0,723.0,1444.0,615.0,700.0,600.0,1016.0,0.0,0.0,0.0,0.0
27,2024-10-30T01:00:00Z,2024-10-29T09:00:56.58,1266.0,1249.0,1385.0,1502.0,2568.0,1729.0,1791.0,6497.0,4117.0,1408.0,2155.0,2882.0,1577.0,3251.0,1249.0,1407.0,1124.0,997.0,1125.0,1141.0,3605.0,1579.0,678.0,6782.0,897.0,1475.0,1092.0,3307.0,1271.0,2715.0,997.0,717.0,1200.0,1632.0,715.0,531.0,1200.0,1632.0,715.0,600.0,0.0,2500.0,1000.0,700.0,1400.0,600.0,700.0,600.0,1016.0,0.0,2500.0,985.0,723.0,1444.0,615.0,700.0,600.0,1016.0,0.0,0.0,0.0,0.0
28,2024-10-30T02:00:00Z,2024-10-29T09:00:56.58,1225.0,1226.0,1364.0,1576.0,2595.0,1763.0,1794.0,6548.0,4161.0,1347.0,2170.0,2878.0,1621.0,3275.0,1249.0,1402.0,1126.0,997.0,1127.0,1142.0,3632.0,1530.0,647.0,6733.0,895.0,1457.0,1087.0,3336.0,1271.0,2715.0,997.0,684.0,1200.0,1632.0,715.0,531.0,1200.0,1632.0,715.0,600.0,0.0,2500.0,1000.0,700.0,1400.0,600.0,700.0,600.0,1016.0,0.0,2500.0,985.0,723.0,1444.0,615.0,700.0,600.0,1016.0,0.0,0.0,0.0,0.0
29,2024-10-30T03:00:00Z,2024-10-29T09:00:56.58,1206.0,1207.0,1344.0,1583.0,2593.0,1777.0,1782.0,6638.0,4173.0,1309.0,2178.0,2878.0,1619.0,3216.0,1254.0,1418.0,1128.0,997.0,1129.0,1144.0,3616.0,1482.0,628.0,6558.0,906.0,1448.0,1101.0,3327.0,1271.0,2715.0,997.0,665.0,1200.0,1632.0,715.0,531.0,1200.0,1632.0,715.0,600.0,0.0,2500.0,1000.0,700.0,1400.0,600.0,700.0,600.0,1016.0,0.0,2500.0,985.0,723.0,1444.0,615.0,700.0,600.0,1016.0,0.0,0.0,0.0,0.0
30,2024-10-30T04:00:00Z,2024-10-29T09:00:56.597,1234.0,1235.0,1377.0,1631.0,2584.0,1729.0,1719.0,6400.0,4000.0,1270.0,2096.0,2838.0,1602.0,3524.0,1268.0,1434.0,1145.0,971.0,1145.0,1160.0,3609.0,1428.0,607.0,6231.0,918.0,1465.0,1113.0,3500.0,1245.0,2715.0,971.0,642.0,1200.0,1632.0,715.0,531.0,1200.0,1632.0,715.0,600.0,0.0,2500.0,1000.0,700.0,1400.0,600.0,700.0,600.0,1016.0,0.0,2500.0,985.0,723.0,1444.0,615.0,700.0,600.0,1016.0,0.0,0.0,0.0,0.0
31,2024-10-30T05:00:00Z,2024-10-29T09:00:56.597,1230.0,1222.0,1372.0,1623.0,2568.0,1684.0,1665.0,6343.0,4303.0,858.0,2256.0,2652.0,1607.0,3536.0,1225.0,1392.0,1146.0,974.0,1146.0,1161.0,3652.0,1059.0,426.0,4183.0,999.0,1714.0,1211.0,3141.0,1245.0,2715.0,974.0,452.0,1200.0,1632.0,715.0,531.0,1200.0,1632.0,715.0,600.0,0.0,2500.0,1000.0,700.0,1400.0,600.0,700.0,600.0,1016.0,0.0,2500.0,985.0,723.0,1444.0,615.0,700.0,600.0,1016.0,0.0,0.0,0.0,0.0
32,2024-10-30T06:00:00Z,2024-10-29T09:00:56.61,1309.0,1268.0,1427.0,1520.0,2552.0,1638.0,1732.0,6224.0,4011.0,791.0,2135.0,2314.0,1608.0,3458.0,1268.0,1441.0,1145.0,978.0,1145.0,1160.0,3592.0,1017.0,399.0,3884.0,1019.0,1815.0,1238.0,3086.0,1243.0,2717.0,978.0,424.0,1200.0,1632.0,715.0,531.0,1200.0,1632.0,715.0,600.0,0.0,2500.0,1000.0,700.0,1400.0,600.0,700.0,600.0,1016.0,0.0,2500.0,985.0,723.0,1444.0,615.0,700.0,600.0,1016.0,0.0,0.0,0.0,0.0
33,2024-10-30T07:00:00Z,2024-10-29T09:00:56.61,1344.0,1233.0,1434.0,1437.0,2600.0,1607.0,1690.0,6166.0,3897.0,941.0,2099.0,2443.0,1584.0,3479.0,1236.0,1402.0,1145.0,973.0,1145.0,1160.0,3570.0,1160.0,467.0,4651.0,995.0,1794.0,1214.0,3100.0,1243.0,2718.0,973.0,496.0,1200.0,1632.0,715.0,531.0,1200.0,1632.0,715.0,600.0,0.0,2500.0,1000.0,700.0,1400.0,600.0,700.0,600.0,1016.0,0.0,2500.0,985.0,723.0,1444.0,615.0,700.0,600.0,1016.0,0.0,0.0,0.0,0.0
34,2024-10-30T08:00:00Z,2024-10-29T09:00:56.61,1330.0,1268.0,1429.0,1426.0,2599.0,1613.0,1649.0,5983.0,3987.0,1065.0,2149.0,2461.0,1586.0,3508.0,1268.0,1375.0,1129.0,977.0,1129.0,1144.0,3589.0,1220.0,513.0,5206.0,968.0,1694.0,1182.0,3048.0,1256.0,2724.0,977.0,543.0,1200.0,1632.0,715.0,531.0,1200.0,1632.0,715.0,600.0,0.0,2500.0,1000.0,700.0,1400.0,600.0,700.0,600.0,1016.0,0.0,2500.0,985.0,723.0,1444.0,615.0,700.0,600.0,1016.0,0.0,0.0,0.0,0.0
